code,name,dea_input1,dea_input2,dea_output,dea_efficiency,dea_rank
guangdong,广东省,1.0,1.0,1.0,0.49751243781094534,1
shandong,山东省,1.0,0.5221556886227545,0.5399586397119156,0.35241760594008636,2
zhejiang,浙江省,0.9,0.3896316955130834,0.4151096725497124,0.3194056239031864,3
hainan,海南省,1.0,0.29394635386760726,0.3367828295960768,0.2582796666420766,4
chongqing,重庆市,1.0,0.23121565089000082,0.28689891985453314,0.23114349198611478,5
hubei,湖北省,1.0,0.1978426708227381,0.2623390268156422,0.21719635607586746,6
guizhou,贵州省,1.0,0.09271183660077106,0.19921204713441015,0.18065648750856153,8
shanghai,上海市,0.9,0.11025551636453121,0.19865108921691488,0.19470719445337262,7
guangxi,广西壮族自治区,1.0,0.05209785907636781,0.1830383636684322,0.172336628027485,10
sichuan,四川省,1.0,0.046730169797391516,0.18132481534431413,0.17159045944441978,11
beijing,北京市,1.0,0.04566893610040194,0.18099823366893106,0.17145359447397512,12
fujian,福建省,1.0,0.03446189812156509,0.1777975816352655,0.1702288824082806,13
liaoning,辽宁省,1.0,0.033795422852924285,0.17762160248073336,0.1701689800432868,14
jiangsu,江苏省,1.0,0.0052825855139037,0.17161197577886314,0.16902877900934216,19
hunan,湖南省,1.0,0.005200557788532525,0.1715989538200123,0.16902960947324122,18
jiangxi,江西省,1.0,0.0043802805348207696,0.1714700674398529,0.16903923580754865,17
jilin,吉林省,1.0,0.0024854400787466162,0.17118159257225324,0.16907067084237723,16
neimenggu,内蒙古自治区,1.0,0.0017964071856287427,0.17107988823194364,0.16908528931014138,15
tianjin,天津市,0.9,0.027430071364121077,0.16576584305858608,0.17683008911520026,9
henan,河南省,0.7,0.004772988270035272,0.0825978226961102,0.11555811992283267,21
yunnan,云南省,0.7,0.0013165449922073662,0.08225797994009801,0.1156418763477506,20
shanxi,山西省,0.6,0.0005085718973012878,0.0,0.0,22
