序号,平台代码,平台名称,行政级别,所在省份,数据集数量,数据口径,采集方法,置信度,来源类型,平台URL,代运营情况,采集日期,状态,备注
1,beijing,北京市公共数据开放平台,省级,北京,4454,数据集,首页正则匹配,高,自主采集,https://data.beijing.gov.cn/,政府自主运营,2026-04-26,成功,首页统计面板直接显示
2,tianjin,天津数港,省级,天津,3344,数据集,官方报告,高,第三方权威,https://tjdsj.tjcac.gov.cn/,政府自主运营,2026-04-26,成功,天津数港2023年4月报告
3,shanxi,山西省公共数据开放平台,省级,山西,534,开放数据目录,首页正则匹配,中,自主采集,https://data.shanxi.gov.cn,政府自主运营,2026-04-26,成功,上下文需进一步验证
4,neimenggu,内蒙古自治区公共数据开放平台,省级,内蒙古,219,数据目录,首页正则匹配,高,自主采集,https://data.nmg.gov.cn,政府自主运营,2026-04-26,成功,上下文明确
5,liaoning,辽宁省公共数据开放平台,省级,辽宁,4120,数据目录,首页正则匹配,高,自主采集,https://data.ln.gov.cn,政府自主运营,2026-04-26,成功,上下文明确
6,jilin,吉林省公共数据开放平台,省级,吉林,303,开放目录,首页正则匹配,高,自主采集,https://data.jl.gov.cn,政府自主运营,2026-04-26,成功,上下文明确
7,shanghai,上海市公共数据开放平台,省级,上海,10753,数据集,官方统计,高,第三方权威,https://data.sh.gov.cn/old/,政府自主运营,2026-04-26,成功,上海市官方统计
8,jiangsu,江苏省公共数据开放平台,省级,江苏,644,数据目录,新URL访问,高,自主采集,https://data.jszwfw.gov.cn:8118,政府自主运营,2026-04-26,成功,通过新URL成功访问
9,zhejiang,浙江省公共数据开放平台,省级,浙江,38000,公共数据集,政府发布会,高,第三方权威,https://www.cls.cn/detail/2149055,政府自主运营,2026-04-26,成功,省数据局新闻发布会
10,anhui,安徽省数据资源局,省级,安徽,,待确认,待确认,低,待确认,,,2026-04-26,未找到,需要JavaScript渲染
11,fujian,福建省公共数据资源统一开放平台,省级,福建,6722,目录数,首页CSS选择器,中,自主采集,https://data.fujian.gov.cn,政府自主运营,2026-04-26,成功,取最大值需重新验证
12,jiangxi,江西省公共数据开放平台,省级,江西,534,开放数据目录,首页正则匹配,中,自主采集,https://data.jiangxi.gov.cn,政府自主运营,2026-04-26,成功,上下文需进一步验证
13,shandong,山东省公共数据开放网,省级,山东,63656,数据目录,首页正则匹配,高,自主采集,https://data.sd.gov.cn,政府自主运营,2026-04-26,成功,上下文明确
14,henan,河南数据要素市场培育平台,省级,河南,931,数据产品,产品中心页面,中,自主采集,https://hndataops.com/portal/product,公司承接运营,2026-04-26,成功,平台转型为运营服务平台
15,hubei,湖北省公共数据开放平台,省级,湖北,24119,数据目录,首页正则匹配,高,自主采集,https://data.hubei.gov.cn,政府自主运营,2026-04-26,成功,上下文明确
16,hunan,湖南省政务数据开放平台,省级,湖南,634,目录,数据目录页,高,自主采集,https://data.hunan.gov.cn,政府自主运营,2026-04-26,成功,分页信息明确
17,guangdong,广东省数据资源"一网共享"平台,省级,广东,97528,数据集,首页正则匹配,高,自主采集,https://gddata.gd.gov.cn,政府自主运营,2026-04-26,成功,首页统计面板明确
18,guangxi,广西壮族自治区公共数据开放平台,省级,广西,10162,目录总数,数据目录页,中,自主采集,https://data.gxzf.gov.cn,政府自主运营,2026-04-26,成功,需确认访问次数
19,hainan,海南省数据产品超市,省级,海南,35835,目录,首页正则匹配,高,自主采集,https://data.hainan.gov.cn,政府自主运营,2026-04-26,成功,上下文明确
20,chongqing,重庆市公共数据开放平台,省级,重庆,22550,数据集,首页正则匹配,高,自主采集,https://data.dsjj.cq.gov.cn,政府自主运营,2026-04-26,成功,上下文明确
21,sichuan,四川省公共数据开放平台,省级,四川,9115,目录数量,数据目录页,中,自主采集,https://www.scdata.net.cn,政府自主运营,2026-04-26,成功,需确认准确性
22,guizhou,贵州省数据开放平台,省级,贵州,9042,数据集,首页数字计数器,高,自主采集,https://data.guizhou.gov.cn,政府自主运营,2026-04-26,成功,动态数字计数器
23,yunnan,云南省数据登记中心,省级,云南,428,数据登记,登记中心页面,中,自主采集,https://data.yn.gov.cn/sjdj,政府自主运营,2026-04-26,成功,平台转型为登记平台
