code,name,province,dataset_count,topsis_score,topsis_rank
hunan,湖南省,湖南省,634,0.9694817140523919,1
guangxi,广西壮族自治区,广西壮族自治区,10162,0.7257842185975102,2
neimenggu,内蒙古自治区,内蒙古自治区,219,0.7064611078418134,3
liaoning,辽宁省,辽宁省,4120,0.6398012374752817,4
beijing,北京市,北京市,4454,0.6025029301846068,5
shandong,山东省,山东省,63656,0.601711998059924,6
sichuan,四川省,四川省,9115,0.6004007176840169,7
hubei,湖北省,湖北省,24119,0.5430736928128177,8
hainan,海南省,海南省,35835,0.5414141928313602,9
guangdong,广东省,广东省,97528,0.5395418023634957,10
chongqing,重庆市,重庆市,22550,0.5112128379290274,11
jiangxi,江西省,江西省,534,0.4057838479568876,12
guizhou,贵州省,贵州省,9042,0.399599282315983,13
fujian,福建省,福建省,6722,0.38572770611047996,14
jilin,吉林省,吉林省,303,0.3742454944812613,15
