code,name,original_count,standardized_count,topsis_score,topsis_rank
guangdong,广东省,97528,97528.0,1.0,1
shandong,山东省,63656,50924.8,0.5399586397119156,2
zhejiang,浙江省,38000,38000.0,0.4151096725497124,3
hainan,海南省,35835,28668.0,0.3367828295960768,4
chongqing,重庆市,22550,22550.0,0.28689891985453314,5
hubei,湖北省,24119,19295.2,0.2623390268156422,6
guizhou,贵州省,9042,9042.0,0.19921204713441015,7
shanghai,上海市,10753,10753.0,0.19865108921691488,8
guangxi,广西壮族自治区,10162,5081.0,0.1830383636684322,9
sichuan,四川省,9115,4557.5,0.18132481534431413,10
beijing,北京市,4454,4454.0,0.18099823366893106,11
fujian,福建省,6722,3361.0,0.1777975816352655,12
liaoning,辽宁省,4120,3296.0,0.17762160248073336,13
jiangsu,江苏省,644,515.2,0.17161197577886314,14
hunan,湖南省,634,507.20000000000005,0.1715989538200123,15
jiangxi,江西省,534,427.20000000000005,0.1714700674398529,16
jilin,吉林省,303,242.4,0.17118159257225324,17
neimenggu,内蒙古自治区,219,175.20000000000002,0.17107988823194364,18
tianjin,天津市,3344,2675.2000000000003,0.16576584305858608,19
henan,河南省,931,465.5,0.0825978226961102,20
yunnan,云南省,428,128.4,0.08225797994009801,21
shanxi,山西省,124,49.6,0.0,22
