序号,平台名称,所属区域,平台URL,采集状态,HTTP状态,最新采集时间
1,安徽省,华东,http://data.ahzwfw.gov.cn:8000,成功,200,2026-04-24T19:59:50
2,北京市,华北,https://data.beijing.gov.cn,成功,200,2026-04-24T19:59:50
3,重庆市,西南,https://data.cq.gov.cn,成功,200,2026-04-24T18:23:36
4,福建省,华东,https://data.fujian.gov.cn,成功,200,2026-04-24T18:23:55
5,广东省,华南,https://gddata.gd.gov.cn,成功,200,2026-04-24T19:59:51
6,广西壮族自治区,华南,https://data.gxzf.gov.cn,成功,200,2026-04-24T18:24:49
7,贵州省,西南,https://data.guizhou.gov.cn,成功,200,2026-04-24T18:25:02
8,海南省,华南,https://data.hainan.gov.cn,成功,200,2026-04-24T18:24:57
9,河北省,华北,https://data.hebei.gov.cn,失败,-,2026-04-24T22:03:18
10,黑龙江省,东北,https://data.hlj.gov.cn,失败,-,2026-04-24T22:03:01
11,河南省,华中,https://data.hnzwfw.gov.cn,成功,200,2026-04-24T22:03:11
12,湖北省,华中,https://data.hubei.gov.cn,成功,200,2026-04-24T18:24:42
13,湖南省,华中,https://data.hunan.gov.cn,成功,200,2026-04-24T18:24:44
14,江苏省,华东,https://data.jszwfw.gov.cn:8118/extranet/openportal/pages/default/index.html,成功,200,2026-04-24T22:03:06
15,江西省,华东,https://data.jiangxi.gov.cn,成功,200,2026-04-24T18:23:58
16,吉林省,东北,https://data.jl.gov.cn,成功,200,2026-04-24T18:25:52
17,辽宁省,东北,https://data.ln.gov.cn,成功,200,2026-04-24T18:25:49
18,内蒙古自治区,华北,https://data.nmg.gov.cn,成功,200,2026-04-24T18:24:38
19,宁夏回族自治区,西北,https://data.nx.gov.cn,失败,-,2026-04-24T22:04:31
20,陕西省,西北,https://data.shaanxi.gov.cn,失败,-,2026-04-24T22:03:28
21,山东省,华东,https://data.sd.gov.cn,成功,200,2026-04-24T18:24:16
22,上海市,华东,https://data.sh.gov.cn,失败,412,2026-04-24T22:03:08
23,山西省,华北,http://data.shanxi.gov.cn,成功,200,2026-04-24T22:03:21
24,四川省,西南,https://scdata.net.cn,成功,200,2026-04-24T22:04:16
25,天津市,华北,https://data.tj.gov.cn,成功,200,2026-04-24T18:23:32
26,新疆维吾尔自治区,西北,https://data.xinjiang.gov.cn,失败,-,2026-04-24T22:03:36
27,云南省,西南,https://data.yn.gov.cn,成功,200,2026-04-24T18:25:19
28,浙江省,华东,https://data.zj.gov.cn,成功,200,2026-04-24T18:23:51
