排名,省级平台,所属区域,TOPSIS综合得分,数据集数量,响应时间(s)
1,四川省,西南,0.8545,44558,31.09
2,辽宁省,东北,0.3954,236,1.21
3,内蒙古自治区,华北,0.3953,219,0.47
4,北京市,华北,0.3941,0,32.86
4,山东省,华东,0.3941,0,15.64
6,广西壮族自治区,华南,0.3777,0,0.51
7,海南省,华南,0.3158,0,6.45
8,湖南省,华中,0.3105,0,0.43
9,山西省,华北,0.31,0,0.37
10,云南省,西南,0.2852,0,15.33
11,江苏省,华东,0.2574,0,2.63
12,天津市,华北,0.2349,0,0.7
13,河南省,华中,0.2268,0,0.7
14,重庆市,西南,0.2172,0,0.43
15,湖北省,华中,0.2086,0,0.26
16,浙江省,华东,0.1988,0,0.65
17,吉林省,东北,0.1976,0,0.41
18,广东省,华南,0.1492,0,0.4
19,江西省,华东,0.1474,0,0.84
20,福建省,华东,0.0285,0,0.17
20,贵州省,西南,0.0285,0,0.21
22,安徽省,华东,0.0127,0,0.2
