code,name,province,dea_efficiency,dea_rank,operating_years,E2_func,dataset_count,topsis_score
shandong,山东省,山东省,1.0,1,9,0.9090909090909091,63656,0.9549677733878029
sichuan,四川省,四川省,0.8312396722224832,11,9,1.0,9115,0.5701895253635803
liaoning,辽宁省,辽宁省,0.8842056174356423,6,9,0.9090909090909091,4120,0.5641274038974721
guangxi,广西壮族自治区,广西壮族自治区,0.8480250806642454,9,9,0.9090909090909091,10162,0.5580546370313767
hainan,海南省,海南省,0.8433919076462284,10,9,0.8181818181818182,35835,0.5530670916047026
beijing,北京市,北京市,0.8618050667935448,8,9,0.9090909090909091,4454,0.5513282236875652
hunan,湖南省,湖南省,0.8868602601877881,5,9,0.9090909090909091,634,0.5289626512111267
henan,河南省,河南省,0.937822607906,2,9,0.7272727272727273,931,0.5105177773556108
neimenggu,内蒙古自治区,内蒙古自治区,0.8822269888665127,7,9,0.9090909090909091,219,0.5054178665362841
tianjin,天津市,天津市,0.9175071059853055,4,9,0.6363636363636364,3344,0.49771042593753595
shanxi,山西省,山西省,0.9236535629009468,3,9,0.7272727272727273,534,0.49141156221418164
guangdong,广东省,广东省,0.7118939420623568,15,9,0.5454545454545454,97528,0.4179564648608927
chongqing,重庆市,重庆市,0.7285505541367062,14,9,0.5454545454545454,22550,0.4040274702961706
jiangsu,江苏省,江苏省,0.743243208760245,12,9,0.7272727272727273,644,0.39851612788422486
hubei,湖北省,湖北省,0.6993567420862982,16,9,0.5454545454545454,24119,0.38888298639664204
zhejiang,浙江省,浙江省,0.6867910883748012,19,9,0.5454545454545454,38000,0.3888334279487103
guizhou,贵州省,贵州省,0.737184900156027,13,9,0.36363636363636365,9042,0.3491683112684613
fujian,福建省,福建省,0.6956967992875339,17,9,0.36363636363636365,6722,0.3249342375206621
jiangxi,江西省,江西省,0.6898809262038181,18,9,0.45454545454545453,534,0.3043210187030476
jilin,吉林省,吉林省,0.6586195322744473,20,9,0.45454545454545453,303,0.28225812608012874
yunnan,云南省,云南省,0.6302449520922504,21,9,0.45454545454545453,428,0.27492179389906596
shanghai,上海市,上海市,0.5987354618966516,22,9,0.2727272727272727,10753,0.26775372882958115
anhui,安徽省,安徽省,0.45001049933683135,23,9,0.18181818181818182,0,0.0947749384966963
hebei,河北省,河北省,0.21972393854072092,27,9,0.2727272727272727,0,0.052933494284810034
xizang,西藏自治区,西藏自治区,0.21972393854072092,27,9,0.2727272727272727,0,0.052933494284810034
shaanxi,陕西省,陕西省,0.21972393854072092,27,9,0.2727272727272727,0,0.052933494284810034
gansu,甘肃省,甘肃省,0.21972393854072092,27,9,0.2727272727272727,0,0.052933494284810034
qinghai,青海省,青海省,0.21972393854072092,27,9,0.2727272727272727,0,0.052933494284810034
ningxia,宁夏回族自治区,宁夏回族自治区,0.21972393854072092,27,9,0.2727272727272727,0,0.052933494284810034
xinjiang,新疆维吾尔自治区,新疆维吾尔自治区,0.21972393854072092,27,9,0.2727272727272727,0,0.052933494284810034
heilongjiang,黑龙江省,黑龙江省,0.21972393854072092,27,9,0.2727272727272727,0,0.052933494284810034
