code,name,province,region,topsis_score,topsis_rank,tier,E1,E2,E3,E4,E5,E1_score,E2_score,E3_score,E4_score,dataset_count,app_count
shandong,山东省,山东省,华东,0.9932462955382638,1,第一梯队,0.88,0.7715689715689715,1.0,1.0,1.0,0.8,0.8,1.0,1.0,63656,108
sichuan,四川省,四川省,西南,0.7150352710812689,2,第一梯队,0.8319924594696495,0.6727272727272727,0.58,0.42,1.0,0.92,0.8,0.7,0.6,44558,0
liaoning,辽宁省,辽宁省,东北,0.5782374879179294,3,第二梯队,0.29788297096895816,0.9666783666783667,1.0,0.42,1.0,0.494,1.0,1.0,0.6,236,0
beijing,北京市,北京市,华北,0.5484836886776987,4,第二梯队,0.2332461480457459,0.7538727038727039,1.0,0.42,1.0,0.388,0.8,1.0,0.6,71,0
neimenggu,内蒙古自治区,内蒙古自治区,华北,0.5438030388216855,5,第二梯队,0.22217614678899084,0.9697028197028197,1.0,0.42,1.0,0.368,1.0,1.0,0.6,219,0
guangxi,广西壮族自治区,广西壮族自治区,华南,0.5263567134784919,6,第二梯队,0.44785572451929123,0.9426231426231426,0.58,0.42,1.0,0.64,1.0,0.7,0.6,10162,0
shanxi,山西省,山西省,华北,0.3610798545811956,7,第三梯队,0.168,0.7394933894933895,0.54,0.42,0.7,0.28,0.7,0.6,0.6,0,0
hainan,海南省,海南省,华南,0.3519103916068533,8,第三梯队,0.144,0.8147712647712648,0.54,0.42,1.0,0.24,0.8,0.6,0.6,0,0
chongqing,重庆市,重庆市,西南,0.2830556291654956,9,第三梯队,0.144,0.6337252837252837,0.42,0.21,0.7,0.24,0.6,0.3,0.3,0,0
tianjin,天津市,天津市,华北,0.2669754453762161,10,第三梯队,0.048,0.7097110097110096,0.42,0.42,0.7,0.08,0.7,0.3,0.6,0,0
hubei,湖北省,湖北省,华中,0.2501985131859653,11,第三梯队,0.024,0.6850766350766351,0.42,0.21,0.7,0.04,0.7,0.3,0.3,0,0
hunan,湖南省,湖南省,华中,0.17619649180067928,12,第三梯队,0.168,0.9167661167661167,0.12,0.42,1.0,0.28,1.0,0.3,0.6,0,0
henan,河南省,河南省,华中,0.1387430336903226,13,第三梯队,0.144,0.7586170586170586,0.0,0.42,0.7,0.24,0.8,0.0,0.6,0,0
jiangsu,江苏省,江苏省,华东,0.12832724859681896,14,第三梯队,0.168,0.8617702117702117,0.0,0.21,0.7,0.28,1.0,0.0,0.3,0,0
guangdong,广东省,广东省,华南,0.11054355339845254,15,第三梯队,0.144,0.6074178074178074,0.0,0.21,0.7,0.24,0.6,0.0,0.3,0,0
fujian,福建省,福建省,华东,0.06196701094855919,16,第三梯队,0.0662395375141385,0.40338715338715336,0.0,0.21,0.7,0.04,0.3,0.0,0.3,6722,0
anhui,安徽省,安徽省,华东,0.05927529653001633,17,第三梯队,0.096,0.29884169884169887,0.0,0.0,0.4,0.16,0.2,0.0,0.0,0,0
guizhou,贵州省,贵州省,西南,0.054879353749546354,18,第三梯队,0.048,0.4031941031941032,0.0,0.21,0.7,0.08,0.3,0.0,0.3,0,0
jiangxi,江西省,江西省,华东,0.05119032979988097,19,第三梯队,0.024,0.5300807300807301,0.0,0.21,0.7,0.04,0.5,0.0,0.3,0,0
