code,name,province,topsis_score,topsis_rank,tier,E1,E2,E3,E4,E5
shandong,山东省,山东省,0.928583774835215,1,第一梯队,0.8814308843745313,0.7715689715689715,1.0,1.0,1.0
liaoning,辽宁省,辽宁省,0.6175076860490866,2,第二梯队,0.6092876014417935,0.9666783666783667,1.0,0.42,1.0
beijing,北京市,北京市,0.5946193635362764,3,第二梯队,0.5596794822170963,0.7538727038727039,1.0,0.42,1.0
neimenggu,内蒙古自治区,内蒙古自治区,0.5842291803331519,4,第二梯队,0.41875244283040086,0.9697028197028197,1.0,0.42,1.0
guangxi,广西壮族自治区,广西壮族自治区,0.5660265046186052,5,第二梯队,0.7215749135311458,0.9426231426231426,0.58,0.42,1.0
sichuan,四川省,四川省,0.5643117216009294,6,第二梯队,0.856842868727864,0.6727272727272727,0.58,0.42,1.0
hainan,海南省,海南省,0.519560739659202,7,第二梯队,0.576423874035346,0.8147712647712648,0.54,0.42,1.0
shanxi,山西省,山西省,0.4722616211100261,8,第二梯队,0.4134296079349056,0.7394933894933895,0.54,0.42,0.7
tianjin,天津市,天津市,0.43726737480837147,9,第二梯队,0.39320721829565763,0.7097110097110096,0.42,0.42,0.7
hunan,湖南省,湖南省,0.417184238444047,10,第二梯队,0.42088781076957743,0.9167661167661167,0.12,0.42,1.0
yunnan,云南省,云南省,0.40497884944338663,11,第二梯队,0.2638190728968491,0.3881010881010881,0.8799999999999999,0.21,0.7
henan,河南省,河南省,0.3735798753720517,12,第三梯队,0.41758832379469685,0.7586170586170586,0.0,0.42,0.7
chongqing,重庆市,重庆市,0.37200811869708555,13,第三梯队,0.556264690880973,0.6337252837252837,0.42,0.21,0.7
hubei,湖北省,湖北省,0.3556001526491271,14,第三梯队,0.45919220293433044,0.6850766350766351,0.42,0.21,0.7
zhejiang,浙江省,浙江省,0.3551390175711739,15,第三梯队,0.45897697228023127,0.682052182052182,0.42,0.21,0.7
guangdong,广东省,广东省,0.31821029598410216,16,第三梯队,0.62,0.6074178074178074,0.0,0.21,0.7
jiangsu,江苏省,江苏省,0.30701535935995566,17,第三梯队,0.42156788767815645,0.8617702117702117,0.0,0.21,0.7
jilin,吉林省,吉林省,0.29400857137876224,18,第三梯队,0.2488281230211784,0.5564525564525564,0.42,0.21,0.7
guizhou,贵州省,贵州省,0.24065342217988223,19,第三梯队,0.4364929296575531,0.4031941031941032,0.0,0.21,0.7
jiangxi,江西省,江西省,0.2188551914481017,20,第三梯队,0.2934296079349056,0.5300807300807301,0.0,0.21,0.7
fujian,福建省,福建省,0.2109182262889364,21,第三梯队,0.383589946345288,0.20654030654030653,0.0,0.21,0.7
shanghai,上海市,上海市,0.15903909633964053,22,第三梯队,0.4040350707135233,0.22572832572832574,0.0,0.0,0.7
anhui,安徽省,安徽省,0.03426460300781788,23,第三梯队,0.08,0.29884169884169887,0.0,0.0,0.4
