code,name,region,topsis_score,topsis_rank,has_https,has_search,has_download,has_api,has_visualization,has_update_info,has_metadata,has_feedback,has_register,has_preview,has_bulk_download
beijing,北京市,华北,0.399101336549182,3,1,1,1,1,1,1,1,1,1,1,0
chongqing,重庆市,西南,0.22020189137711726,14,1,0,0,1,1,0,1,0,0,1,0
fujian,福建省,华东,0.029064171443165816,20,1,0,0,0,0,0,0,0,0,1,0
guangdong,广东省,华南,0.1514747332185449,18,1,1,0,1,0,0,0,0,0,1,0
guangxi,广西壮族自治区,华南,0.3823299845385281,6,1,1,1,1,1,1,0,1,1,1,0
guizhou,贵州省,西南,0.029064171443165816,20,1,0,0,0,0,0,0,0,0,1,0
hainan,海南省,华南,0.3198946756591879,7,1,1,1,1,0,0,1,1,1,1,0
henan,河南省,华中,0.22999048456510532,13,1,1,0,1,1,0,0,0,1,1,0
hubei,湖北省,华中,0.211510678523013,15,1,1,1,0,0,0,1,0,0,1,0
hunan,湖南省,华中,0.3145886525735687,8,1,1,1,1,1,0,0,1,1,1,0
jiangsu,江苏省,华东,0.2603816192698943,11,1,1,1,1,1,0,0,0,1,0,0
jiangxi,江西省,华东,0.14952538244364663,19,1,0,1,0,0,0,0,0,0,1,0
jilin,吉林省,东北,0.20035896472560139,17,1,0,1,0,0,0,1,0,0,1,0
liaoning,辽宁省,东北,0.399101336549182,3,1,1,1,1,1,1,1,1,1,1,0
neimenggu,内蒙古自治区,华北,0.399101336549182,3,1,1,1,1,1,1,1,1,1,1,0
shandong,山东省,华东,0.399101336549182,3,1,1,1,1,1,1,1,1,1,1,0
shanghai,上海市,华东,0.012957375128993434,22,1,0,0,0,0,0,0,0,0,0,0
shanxi,山西省,华北,0.31445937159227516,9,0,1,0,1,1,0,1,1,1,1,0
sichuan,四川省,西南,0.8524498211880776,1,1,1,1,1,1,1,0,1,1,1,1
tianjin,天津市,华北,0.23819879568800328,12,1,1,0,0,1,0,1,0,1,1,0
yunnan,云南省,西南,0.28836789783929273,10,1,1,0,0,0,1,1,0,0,1,0
zhejiang,浙江省,华东,0.20164966422558123,16,1,1,0,0,1,0,1,0,0,1,0
