省份,年份,数据集数量,政策实施,人均GDP,互联网普及率,数字基础设施指数,处理组,政策后,DID交互项
北京,2018,1200,0,14.0,78.5,85.2,0,0,0
北京,2019,1800,0,15.2,80.1,87.5,0,0,0
北京,2020,2500,0,16.5,82.3,89.8,0,0,0
北京,2021,3200,0,18.1,84.5,91.2,0,0,0
北京,2022,3800,0,19.0,86.2,92.5,0,0,0
北京,2023,4454,1,19.0,88.0,93.8,0,1,0
北京,2024,4800,1,19.5,89.5,94.5,0,1,0
上海,2018,3500,0,13.5,80.2,88.5,0,0,0
上海,2019,4200,0,14.8,82.0,90.1,0,0,0
上海,2020,5500,0,15.6,84.5,91.8,0,0,0
上海,2021,7200,0,17.2,86.8,93.2,0,0,0
上海,2022,8900,0,18.5,88.5,94.5,0,0,0
上海,2023,10753,1,19.0,90.2,95.8,0,1,0
上海,2024,12000,1,19.5,91.5,96.5,0,1,0
广东,2018,8000,0,9.8,75.5,82.3,0,0,0
广东,2019,12000,0,10.5,78.2,85.6,0,0,0
广东,2020,25000,0,11.2,80.5,88.2,0,0,0
广东,2021,45000,0,12.5,83.0,90.5,0,0,0
广东,2022,68000,0,13.8,85.5,92.8,0,0,0
广东,2023,97528,1,14.5,87.8,94.5,0,1,0
广东,2024,110000,1,15.0,89.5,95.8,0,1,0
浙江,2018,5000,0,10.2,76.8,84.5,0,0,0
浙江,2019,8000,0,11.0,79.5,87.2,0,0,0
浙江,2020,15000,0,11.8,82.0,89.8,0,0,0
浙江,2021,22000,0,12.5,84.5,92.0,0,0,0
浙江,2022,30000,0,13.2,86.8,93.5,0,0,0
浙江,2023,38000,1,13.8,88.5,95.2,0,1,0
浙江,2024,45000,1,14.2,90.0,96.2,0,1,0
山东,2018,8000,0,7.6,72.5,78.5,0,0,0
山东,2019,15000,0,8.0,75.2,81.8,0,0,0
山东,2020,25000,0,8.3,78.0,84.5,0,0,0
山东,2021,38000,0,8.6,80.5,87.2,0,0,0
山东,2022,50000,0,9.0,83.0,89.8,0,0,0
山东,2023,63656,1,9.2,85.5,92.0,0,1,0
山东,2024,72000,1,9.5,87.0,93.5,0,1,0
贵州,2018,500,0,4.1,62.5,68.2,1,0,0
贵州,2019,1200,0,4.3,65.8,72.5,1,0,0
贵州,2020,2500,0,4.6,69.2,76.8,1,0,0
贵州,2021,4000,0,5.0,72.5,80.5,1,0,0
贵州,2022,6000,0,5.3,75.8,84.2,1,0,0
贵州,2023,9042,1,5.5,78.5,87.5,1,1,1
贵州,2024,11000,1,5.8,81.0,90.0,1,1,1
海南,2018,200,0,5.2,68.5,72.8,1,0,0
海南,2019,800,0,5.5,72.0,76.5,1,0,0
海南,2020,2000,0,5.8,75.5,80.2,1,0,0
海南,2021,8000,0,6.2,78.8,83.8,1,0,0
海南,2022,20000,0,6.5,82.0,87.2,1,0,0
海南,2023,35835,1,6.8,85.0,90.5,1,1,1
海南,2024,42000,1,7.0,87.5,93.0,1,1,1
重庆,2018,2000,0,6.6,70.2,75.5,0,0,0
重庆,2019,5000,0,7.0,73.5,79.2,0,0,0
重庆,2020,8000,0,7.5,76.8,82.8,0,0,0
重庆,2021,12000,0,8.0,80.0,86.2,0,0,0
重庆,2022,16000,0,8.3,83.0,89.5,0,0,0
重庆,2023,22550,1,8.5,85.5,92.0,0,1,0
重庆,2024,28000,1,8.8,87.5,94.0,0,1,0
湖北,2018,3000,0,6.7,68.5,74.2,0,0,0
湖北,2019,6000,0,7.0,72.0,78.5,0,0,0
湖北,2020,10000,0,7.3,75.5,82.0,0,0,0
湖北,2021,15000,0,7.6,78.8,85.5,0,0,0
湖北,2022,19000,0,7.9,82.0,88.8,0,0,0
湖北,2023,24119,1,8.1,84.5,91.5,0,1,0
湖北,2024,30000,1,8.3,86.5,93.5,0,1,0
四川,2018,800,0,4.9,65.2,70.5,0,0,0
四川,2019,1500,0,5.1,68.5,74.2,0,0,0
四川,2020,3000,0,5.3,72.0,78.0,0,0,0
四川,2021,5000,0,5.5,75.5,81.5,0,0,0
四川,2022,7000,0,5.8,78.8,85.0,0,0,0
四川,2023,9115,1,6.0,81.5,88.2,0,1,0
四川,2024,12000,1,6.2,84.0,91.0,0,1,0
