序号,平台代码,平台名称,行政级别,所在省份,平台URL,状态,备注
1,beijing,北京市公共数据开放平台,省级,北京,https://data.beijing.gov.cn/,运营中,
2,tianjin,天津数港,省级,天津,https://tjdsj.tjcac.gov.cn/,运营中,
3,shanxi,山西省公共数据开放平台,省级,山西,https://data.shanxi.gov.cn,运营中,
4,neimenggu,内蒙古自治区公共数据开放平台,省级,内蒙古,https://data.nmg.gov.cn,运营中,
5,liaoning,辽宁省公共数据开放平台,省级,辽宁,https://data.ln.gov.cn,运营中,
6,jilin,吉林省公共数据开放平台,省级,吉林,https://data.jl.gov.cn,运营中,
7,heilongjiang,黑龙江省公共数据开放平台,省级,黑龙江,https://data.hlj.gov.cn,运营中,
8,shanghai,上海市公共数据开放平台,省级,上海,https://data.sh.gov.cn/old/,运营中,
9,jiangsu,江苏省公共数据开放平台,省级,江苏,https://data.jszwfw.gov.cn:8118,运营中,
10,zhejiang,浙江省公共数据开放平台,省级,浙江,https://data.zjzwfw.gov.cn,运营中,
11,anhui,安徽省公共数据开放平台,省级,安徽,https://data.ahzwfw.gov.cn/dataopen-web/index.html,运营中,
12,fujian,福建省公共数据资源统一开放平台,省级,福建,https://data.fujian.gov.cn,运营中,
13,jiangxi,江西省公共数据开放平台,省级,江西,https://data.jiangxi.gov.cn,运营中,
14,shandong,山东省公共数据开放网,省级,山东,https://data.sd.gov.cn,运营中,
15,henan,河南数据要素市场培育平台,省级,河南,https://hndataops.com/portal/product,运营中,平台转型为运营服务平台
16,hubei,湖北省公共数据开放平台,省级,湖北,https://data.hubei.gov.cn,运营中,
17,hunan,湖南省政务数据开放平台,省级,湖南,https://data.hunan.gov.cn,运营中,
18,guangdong,广东省数据资源一网共享平台,省级,广东,https://gddata.gd.gov.cn,运营中,
19,guangxi,广西壮族自治区公共数据开放平台,省级,广西,https://data.gxzf.gov.cn,运营中,
20,hainan,海南省数据产品超市,省级,海南,https://data.hainan.gov.cn,运营中,
21,chongqing,重庆市公共数据开放平台,省级,重庆,https://data.dsjj.cq.gov.cn,运营中,
22,sichuan,四川省公共数据开放平台,省级,四川,https://www.scdata.net.cn,运营中,
23,guizhou,贵州省数据开放平台,省级,贵州,https://data.guizhou.gov.cn,运营中,
24,yunnan,云南省数据登记中心,省级,云南,https://data.yn.gov.cn/sjdj,运营中,平台转型为登记平台
